trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
1,06:00:00,06:00:00,17,1,,,
1,06:01:47,06:01:47,16,2,,,
1,06:03:57,06:03:57,15,3,,,
1,06:05:57,06:05:57,14,4,,,
1,06:08:00,06:08:00,13,5,,,
1,06:09:49,06:09:49,1,6,,,
1,06:12:22,06:12:22,2,7,,,
1,06:14:48,06:14:48,3,8,,,
1,06:16:48,06:16:48,4,9,,,
1,06:18:30,06:18:30,5,10,,,
1,06:20:28,06:20:28,6,11,,,
1,06:22:56,06:22:56,7,12,,,
1,06:24:46,06:24:46,8,13,,,
1,06:26:22,06:26:22,9,14,,,
1,06:28:32,06:28:32,10,15,,,
1,06:30:14,06:30:14,11,16,,,
1,06:32:17,06:32:17,12,17,,,
2,06:07:30,06:07:30,17,1,,,
2,06:09:17,06:09:17,16,2,,,
2,06:11:27,06:11:27,15,3,,,
2,06:13:27,06:13:27,14,4,,,
2,06:15:30,06:15:30,13,5,,,
2,06:17:19,06:17:19,1,6,,,
2,06:19:52,06:19:52,2,7,,,
2,06:22:18,06:22:18,3,8,,,
2,06:24:18,06:24:18,4,9,,,
2,06:26:00,06:26:00,5,10,,,
2,06:27:58,06:27:58,6,11,,,
2,06:30:26,06:30:26,7,12,,,
2,06:32:16,06:32:16,8,13,,,
2,06:33:52,06:33:52,9,14,,,
2,06:36:02,06:36:02,10,15,,,
2,06:37:44,06:37:44,11,16,,,
2,06:39:47,06:39:47,12,17,,,
3,06:15:00,06:15:00,17,1,,,
3,06:16:47,06:16:47,16,2,,,
3,06:18:57,06:18:57,15,3,,,
3,06:20:57,06:20:57,14,4,,,
3,06:23:00,06:23:00,13,5,,,
3,06:24:49,06:24:49,1,6,,,
3,06:27:22,06:27:22,2,7,,,
3,06:29:48,06:29:48,3,8,,,
3,06:31:48,06:31:48,4,9,,,
3,06:33:30,06:33:30,5,10,,,
3,06:35:28,06:35:28,6,11,,,
3,06:37:56,06:37:56,7,12,,,
3,06:39:46,06:39:46,8,13,,,
3,06:41:22,06:41:22,9,14,,,
3,06:43:32,06:43:32,10,15,,,
3,06:45:14,06:45:14,11,16,,,
3,06:47:17,06:47:17,12,17,,,
4,06:22:30,06:22:30,17,1,,,
4,06:24:17,06:24:17,16,2,,,
4,06:26:27,06:26:27,15,3,,,
4,06:28:27,06:28:27,14,4,,,
4,06:30:30,06:30:30,13,5,,,
4,06:32:19,06:32:19,1,6,,,
4,06:34:52,06:34:52,2,7,,,
4,06:37:18,06:37:18,3,8,,,
4,06:39:18,06:39:18,4,9,,,
4,06:41:00,06:41:00,5,10,,,
4,06:42:58,06:42:58,6,11,,,
4,06:45:26,06:45:26,7,12,,,
4,06:47:16,06:47:16,8,13,,,
4,06:48:52,06:48:52,9,14,,,
4,06:51:02,06:51:02,10,15,,,
4,06:52:44,06:52:44,11,16,,,
4,06:54:47,06:54:47,12,17,,,
5,06:30:00,06:30:00,17,1,,,
5,06:31:47,06:31:47,16,2,,,
5,06:33:57,06:33:57,15,3,,,
5,06:35:57,06:35:57,14,4,,,
5,06:38:00,06:38:00,13,5,,,
5,06:39:49,06:39:49,1,6,,,
5,06:42:22,06:42:22,2,7,,,
5,06:44:48,06:44:48,3,8,,,
5,06:46:48,06:46:48,4,9,,,
5,06:48:30,06:48:30,5,10,,,
5,06:50:28,06:50:28,6,11,,,
5,06:52:56,06:52:56,7,12,,,
5,06:54:46,06:54:46,8,13,,,
5,06:56:22,06:56:22,9,14,,,
5,06:58:32,06:58:32,10,15,,,
5,07:00:14,07:00:14,11,16,,,
5,07:02:17,07:02:17,12,17,,,
6,06:35:00,06:35:00,17,1,,,
6,06:36:47,06:36:47,16,2,,,
6,06:38:57,06:38:57,15,3,,,
6,06:40:57,06:40:57,14,4,,,
6,06:43:00,06:43:00,13,5,,,
6,06:44:49,06:44:49,1,6,,,
6,06:47:22,06:47:22,2,7,,,
6,06:49:48,06:49:48,3,8,,,
6,06:51:48,06:51:48,4,9,,,
6,06:53:30,06:53:30,5,10,,,
6,06:55:28,06:55:28,6,11,,,
6,06:57:56,06:57:56,7,12,,,
6,06:59:46,06:59:46,8,13,,,
6,07:01:22,07:01:22,9,14,,,
6,07:03:32,07:03:32,10,15,,,
6,07:05:14,07:05:14,11,16,,,
6,07:07:17,07:07:17,12,17,,,
7,06:40:00,06:40:00,17,1,,,
7,06:41:47,06:41:47,16,2,,,
7,06:43:57,06:43:57,15,3,,,
7,06:45:57,06:45:57,14,4,,,
7,06:48:00,06:48:00,13,5,,,
7,06:49:49,06:49:49,1,6,,,
7,06:52:22,06:52:22,2,7,,,
7,06:54:48,06:54:48,3,8,,,
7,06:56:48,06:56:48,4,9,,,
7,06:58:30,06:58:30,5,10,,,
7,07:00:28,07:00:28,6,11,,,
7,07:02:56,07:02:56,7,12,,,
7,07:04:46,07:04:46,8,13,,,
7,07:06:22,07:06:22,9,14,,,
7,07:08:32,07:08:32,10,15,,,
7,07:10:14,07:10:14,11,16,,,
7,07:12:17,07:12:17,12,17,,,
8,06:45:00,06:45:00,17,1,,,
8,06:46:47,06:46:47,16,2,,,
8,06:48:57,06:48:57,15,3,,,
8,06:50:57,06:50:57,14,4,,,
8,06:53:00,06:53:00,13,5,,,
8,06:54:49,06:54:49,1,6,,,
8,06:57:22,06:57:22,2,7,,,
8,06:59:48,06:59:48,3,8,,,
8,07:01:48,07:01:48,4,9,,,
8,07:03:30,07:03:30,5,10,,,
8,07:05:28,07:05:28,6,11,,,
8,07:07:56,07:07:56,7,12,,,
8,07:09:46,07:09:46,8,13,,,
8,07:11:22,07:11:22,9,14,,,
8,07:13:32,07:13:32,10,15,,,
8,07:15:14,07:15:14,11,16,,,
8,07:17:17,07:17:17,12,17,,,
9,06:50:00,06:50:00,17,1,,,
9,06:51:47,06:51:47,16,2,,,
9,06:53:57,06:53:57,15,3,,,
9,06:55:57,06:55:57,14,4,,,
9,06:58:00,06:58:00,13,5,,,
9,06:59:49,06:59:49,1,6,,,
9,07:02:22,07:02:22,2,7,,,
9,07:04:48,07:04:48,3,8,,,
9,07:06:48,07:06:48,4,9,,,
9,07:08:30,07:08:30,5,10,,,
9,07:10:28,07:10:28,6,11,,,
9,07:12:56,07:12:56,7,12,,,
9,07:14:46,07:14:46,8,13,,,
9,07:16:22,07:16:22,9,14,,,
9,07:18:32,07:18:32,10,15,,,
9,07:20:14,07:20:14,11,16,,,
9,07:22:17,07:22:17,12,17,,,
10,06:55:00,06:55:00,17,1,,,
10,06:56:47,06:56:47,16,2,,,
10,06:58:57,06:58:57,15,3,,,
10,07:00:57,07:00:57,14,4,,,
10,07:03:00,07:03:00,13,5,,,
10,07:04:49,07:04:49,1,6,,,
10,07:07:22,07:07:22,2,7,,,
10,07:09:48,07:09:48,3,8,,,
10,07:11:48,07:11:48,4,9,,,
10,07:13:30,07:13:30,5,10,,,
10,07:15:28,07:15:28,6,11,,,
10,07:17:56,07:17:56,7,12,,,
10,07:19:46,07:19:46,8,13,,,
10,07:21:22,07:21:22,9,14,,,
10,07:23:32,07:23:32,10,15,,,
10,07:25:14,07:25:14,11,16,,,
10,07:27:17,07:27:17,12,17,,,
11,07:00:00,07:00:00,17,1,,,
11,07:01:47,07:01:47,16,2,,,
11,07:03:57,07:03:57,15,3,,,
11,07:05:57,07:05:57,14,4,,,
11,07:08:00,07:08:00,13,5,,,
11,07:09:49,07:09:49,1,6,,,
11,07:12:22,07:12:22,2,7,,,
11,07:14:48,07:14:48,3,8,,,
11,07:16:48,07:16:48,4,9,,,
11,07:18:30,07:18:30,5,10,,,
11,07:20:28,07:20:28,6,11,,,
11,07:22:56,07:22:56,7,12,,,
11,07:24:46,07:24:46,8,13,,,
11,07:26:22,07:26:22,9,14,,,
11,07:28:32,07:28:32,10,15,,,
11,07:30:14,07:30:14,11,16,,,
11,07:32:17,07:32:17,12,17,,,
12,07:03:00,07:03:00,17,1,,,
12,07:04:47,07:04:47,16,2,,,
12,07:06:57,07:06:57,15,3,,,
12,07:08:57,07:08:57,14,4,,,
12,07:11:00,07:11:00,13,5,,,
12,07:12:49,07:12:49,1,6,,,
12,07:15:22,07:15:22,2,7,,,
12,07:17:48,07:17:48,3,8,,,
12,07:19:48,07:19:48,4,9,,,
12,07:21:30,07:21:30,5,10,,,
12,07:23:28,07:23:28,6,11,,,
12,07:25:56,07:25:56,7,12,,,
12,07:27:46,07:27:46,8,13,,,
12,07:29:22,07:29:22,9,14,,,
12,07:31:32,07:31:32,10,15,,,
12,07:33:14,07:33:14,11,16,,,
12,07:35:17,07:35:17,12,17,,,
13,07:06:00,07:06:00,17,1,,,
13,07:07:47,07:07:47,16,2,,,
13,07:09:57,07:09:57,15,3,,,
13,07:11:57,07:11:57,14,4,,,
13,07:14:00,07:14:00,13,5,,,
13,07:15:49,07:15:49,1,6,,,
13,07:18:22,07:18:22,2,7,,,
13,07:20:48,07:20:48,3,8,,,
13,07:22:48,07:22:48,4,9,,,
13,07:24:30,07:24:30,5,10,,,
13,07:26:28,07:26:28,6,11,,,
13,07:28:56,07:28:56,7,12,,,
13,07:30:46,07:30:46,8,13,,,
13,07:32:22,07:32:22,9,14,,,
13,07:34:32,07:34:32,10,15,,,
13,07:36:14,07:36:14,11,16,,,
13,07:38:17,07:38:17,12,17,,,
14,07:09:00,07:09:00,17,1,,,
14,07:10:47,07:10:47,16,2,,,
14,07:12:57,07:12:57,15,3,,,
14,07:14:57,07:14:57,14,4,,,
14,07:17:00,07:17:00,13,5,,,
14,07:18:49,07:18:49,1,6,,,
14,07:21:22,07:21:22,2,7,,,
14,07:23:48,07:23:48,3,8,,,
14,07:25:48,07:25:48,4,9,,,
14,07:27:30,07:27:30,5,10,,,
14,07:29:28,07:29:28,6,11,,,
14,07:31:56,07:31:56,7,12,,,
14,07:33:46,07:33:46,8,13,,,
14,07:35:22,07:35:22,9,14,,,
14,07:37:32,07:37:32,10,15,,,
14,07:39:14,07:39:14,11,16,,,
14,07:41:17,07:41:17,12,17,,,
15,07:12:00,07:12:00,17,1,,,
15,07:13:47,07:13:47,16,2,,,
15,07:15:57,07:15:57,15,3,,,
15,07:17:57,07:17:57,14,4,,,
15,07:20:00,07:20:00,13,5,,,
