route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
1,DAYSOFWEEK,1,Evka - 3,,,,1
1,DAYSOFWEEK,2,Evka - 3,,,,1
1,DAYSOFWEEK,3,Evka - 3,,,,1
1,DAYSOFWEEK,4,Evka - 3,,,,1
1,DAYSOFWEEK,5,Evka - 3,,,,1
1,DAYSOFWEEK,6,Evka - 3,,,,1
1,DAYSOFWEEK,7,Evka - 3,,,,1
1,DAYSOFWEEK,8,Evka - 3,,,,1
1,DAYSOFWEEK,9,Evka - 3,,,,1
1,DAYSOFWEEK,10,Evka - 3,,,,1
1,DAYSOFWEEK,11,Evka - 3,,,,1
1,DAYSOFWEEK,12,Evka - 3,,,,1
1,DAYSOFWEEK,13,Evka - 3,,,,1
1,DAYSOFWEEK,14,Evka - 3,,,,1
1,DAYSOFWEEK,15,Evka - 3,,,,1
1,DAYSOFWEEK,16,Evka - 3,,,,1
1,DAYSOFWEEK,17,Evka - 3,,,,1
1,DAYSOFWEEK,18,Evka - 3,,,,1
1,DAYSOFWEEK,19,Evka - 3,,,,1
1,DAYSOFWEEK,20,Evka - 3,,,,1
1,DAYSOFWEEK,21,Evka - 3,,,,1
1,DAYSOFWEEK,22,Evka - 3,,,,1
1,DAYSOFWEEK,23,Evka - 3,,,,1
1,DAYSOFWEEK,24,Evka - 3,,,,1
1,DAYSOFWEEK,25,Evka - 3,,,,1
1,DAYSOFWEEK,26,Evka - 3,,,,1
1,DAYSOFWEEK,27,Evka - 3,,,,1
1,DAYSOFWEEK,28,Evka - 3,,,,1
1,DAYSOFWEEK,29,Evka - 3,,,,1
1,DAYSOFWEEK,30,Evka - 3,,,,1
1,DAYSOFWEEK,31,Evka - 3,,,,1
1,DAYSOFWEEK,32,Evka - 3,,,,1
1,DAYSOFWEEK,33,Evka - 3,,,,1
1,DAYSOFWEEK,34,Evka - 3,,,,1
1,DAYSOFWEEK,35,Evka - 3,,,,1
1,DAYSOFWEEK,36,Evka - 3,,,,1
1,DAYSOFWEEK,37,Evka - 3,,,,1
1,DAYSOFWEEK,38,Evka - 3,,,,1
1,DAYSOFWEEK,39,Evka - 3,,,,1
1,DAYSOFWEEK,40,Evka - 3,,,,1
1,DAYSOFWEEK,41,Evka - 3,,,,1
1,DAYSOFWEEK,42,Evka - 3,,,,1
1,DAYSOFWEEK,43,Evka - 3,,,,1
1,DAYSOFWEEK,44,Evka - 3,,,,1
1,DAYSOFWEEK,45,Evka - 3,,,,1
1,DAYSOFWEEK,46,Evka - 3,,,,1
1,DAYSOFWEEK,47,Evka - 3,,,,1
1,DAYSOFWEEK,48,Evka - 3,,,,1
1,DAYSOFWEEK,49,Evka - 3,,,,1
1,DAYSOFWEEK,50,Evka - 3,,,,1
1,DAYSOFWEEK,51,Evka - 3,,,,1
1,DAYSOFWEEK,52,Evka - 3,,,,1
1,DAYSOFWEEK,53,Evka - 3,,,,1
1,DAYSOFWEEK,54,Evka - 3,,,,1
1,DAYSOFWEEK,55,Evka - 3,,,,1
1,DAYSOFWEEK,56,Evka - 3,,,,1
1,DAYSOFWEEK,57,Evka - 3,,,,1
1,DAYSOFWEEK,58,Evka - 3,,,,1
1,DAYSOFWEEK,59,Evka - 3,,,,1
1,DAYSOFWEEK,60,Evka - 3,,,,1
1,DAYSOFWEEK,61,Evka - 3,,,,1
1,DAYSOFWEEK,62,Evka - 3,,,,1
1,DAYSOFWEEK,63,Evka - 3,,,,1
1,DAYSOFWEEK,64,Evka - 3,,,,1
1,DAYSOFWEEK,65,Evka - 3,,,,1
1,DAYSOFWEEK,66,Evka - 3,,,,1
1,DAYSOFWEEK,67,Evka - 3,,,,1
1,DAYSOFWEEK,68,Evka - 3,,,,1
1,DAYSOFWEEK,69,Evka - 3,,,,1
1,DAYSOFWEEK,70,Evka - 3,,,,1
1,DAYSOFWEEK,71,Evka - 3,,,,1
1,DAYSOFWEEK,72,Evka - 3,,,,1
1,DAYSOFWEEK,73,Evka - 3,,,,1
1,DAYSOFWEEK,74,Evka - 3,,,,1
1,DAYSOFWEEK,75,Evka - 3,,,,1
1,DAYSOFWEEK,76,Evka - 3,,,,1
1,DAYSOFWEEK,77,Evka - 3,,,,1
1,DAYSOFWEEK,78,Evka - 3,,,,1
1,DAYSOFWEEK,79,Evka - 3,,,,1
1,DAYSOFWEEK,80,Evka - 3,,,,1
1,DAYSOFWEEK,81,Evka - 3,,,,1
1,DAYSOFWEEK,82,Evka - 3,,,,1
1,DAYSOFWEEK,83,Evka - 3,,,,1
1,DAYSOFWEEK,84,Evka - 3,,,,1
1,DAYSOFWEEK,85,Evka - 3,,,,1
1,DAYSOFWEEK,86,Evka - 3,,,,1
1,DAYSOFWEEK,87,Evka - 3,,,,1
1,DAYSOFWEEK,88,Evka - 3,,,,1
1,DAYSOFWEEK,89,Evka - 3,,,,1
1,DAYSOFWEEK,90,Evka - 3,,,,1
1,DAYSOFWEEK,91,Evka - 3,,,,1
1,DAYSOFWEEK,92,Evka - 3,,,,1
1,DAYSOFWEEK,93,Evka - 3,,,,1
1,DAYSOFWEEK,94,Evka - 3,,,,1
1,DAYSOFWEEK,95,Evka - 3,,,,1
1,DAYSOFWEEK,96,Evka - 3,,,,1
1,DAYSOFWEEK,97,Evka - 3,,,,1
1,DAYSOFWEEK,98,Evka - 3,,,,1
1,DAYSOFWEEK,99,Evka - 3,,,,1
1,DAYSOFWEEK,100,Evka - 3,,,,1
1,DAYSOFWEEK,101,Evka - 3,,,,1
1,DAYSOFWEEK,102,Evka - 3,,,,1
1,DAYSOFWEEK,103,Evka - 3,,,,1
1,DAYSOFWEEK,104,Evka - 3,,,,1
1,DAYSOFWEEK,105,Evka - 3,,,,1
1,DAYSOFWEEK,106,Evka - 3,,,,1
1,DAYSOFWEEK,107,Evka - 3,,,,1
1,DAYSOFWEEK,108,Evka - 3,,,,1
1,DAYSOFWEEK,109,Evka - 3,,,,1
1,DAYSOFWEEK,110,Evka - 3,,,,1
1,DAYSOFWEEK,111,Evka - 3,,,,1
1,DAYSOFWEEK,112,Evka - 3,,,,1
1,DAYSOFWEEK,113,Evka - 3,,,,1
1,DAYSOFWEEK,114,Evka - 3,,,,1
1,DAYSOFWEEK,115,Evka - 3,,,,1
1,DAYSOFWEEK,116,Evka - 3,,,,1
1,DAYSOFWEEK,117,Evka - 3,,,,1
1,DAYSOFWEEK,118,Evka - 3,,,,1
1,DAYSOFWEEK,119,Evka - 3,,,,1
1,DAYSOFWEEK,120,Evka - 3,,,,1
1,DAYSOFWEEK,121,Evka - 3,,,,1
1,DAYSOFWEEK,122,Evka - 3,,,,1
1,DAYSOFWEEK,123,Evka - 3,,,,1
1,DAYSOFWEEK,124,Evka - 3,,,,1
1,DAYSOFWEEK,125,Evka - 3,,,,1
1,DAYSOFWEEK,126,Evka - 3,,,,1
1,DAYSOFWEEK,127,Evka - 3,,,,1
1,DAYSOFWEEK,128,Evka - 3,,,,1
1,DAYSOFWEEK,129,Evka - 3,,,,1
1,DAYSOFWEEK,130,Evka - 3,,,,1
1,DAYSOFWEEK,131,Evka - 3,,,,1
1,DAYSOFWEEK,132,Evka - 3,,,,1
1,DAYSOFWEEK,133,Evka - 3,,,,1
1,DAYSOFWEEK,134,Evka - 3,,,,1
1,DAYSOFWEEK,135,Evka - 3,,,,1
1,DAYSOFWEEK,136,Evka - 3,,,,1
1,DAYSOFWEEK,137,Evka - 3,,,,1
1,DAYSOFWEEK,138,Evka - 3,,,,1
1,DAYSOFWEEK,139,Evka - 3,,,,1
1,DAYSOFWEEK,140,Evka - 3,,,,1
1,DAYSOFWEEK,141,Evka - 3,,,,1
1,DAYSOFWEEK,142,Evka - 3,,,,1
1,DAYSOFWEEK,143,Evka - 3,,,,1
1,DAYSOFWEEK,144,Evka - 3,,,,1
1,DAYSOFWEEK,145,Evka - 3,,,,1
1,DAYSOFWEEK,146,Evka - 3,,,,1
1,DAYSOFWEEK,147,Evka - 3,,,,1
1,DAYSOFWEEK,148,Evka - 3,,,,1
1,DAYSOFWEEK,149,Evka - 3,,,,1
1,DAYSOFWEEK,150,Evka - 3,,,,1
1,DAYSOFWEEK,151,Evka - 3,,,,1
1,DAYSOFWEEK,152,Evka - 3,,,,1
1,DAYSOFWEEK,153,Evka - 3,,,,1
1,DAYSOFWEEK,154,Evka - 3,,,,1
1,DAYSOFWEEK,155,Evka - 3,,,,1
1,DAYSOFWEEK,156,Evka - 3,,,,1
1,DAYSOFWEEK,157,Evka - 3,,,,1
1,DAYSOFWEEK,158,Evka - 3,,,,1
1,DAYSOFWEEK,159,Evka - 3,,,,1
1,DAYSOFWEEK,160,Evka - 3,,,,1
1,DAYSOFWEEK,161,Evka - 3,,,,1
1,DAYSOFWEEK,162,Evka - 3,,,,1
1,DAYSOFWEEK,163,Evka - 3,,,,1
1,DAYSOFWEEK,164,Evka - 3,,,,1
1,DAYSOFWEEK,165,Evka - 3,,,,1
1,DAYSOFWEEK,166,Evka - 3,,,,1
1,DAYSOFWEEK,167,Evka - 3,,,,1
1,DAYSOFWEEK,168,Evka - 3,,,,1
1,DAYSOFWEEK,169,Evka - 3,,,,1
1,DAYSOFWEEK,170,Evka - 3,,,,1
1,DAYSOFWEEK,171,Evka - 3,,,,1
1,DAYSOFWEEK,172,Evka - 3,,,,1
1,DAYSOFWEEK,173,Evka - 3,,,,1
1,DAYSOFWEEK,174,Evka - 3,,,,1
